,FTT-USD_Open,FTT-USD_High,FTT-USD_Low,FTT-USD_Close,FTT-USD_Adj_Close,FTT-USD_Volume,BNB-USD_Open,BNB-USD_High,BNB-USD_Low,BNB-USD_Close,BNB-USD_Adj_Close,BNB-USD_Volume,HT-USD_Open,HT-USD_High,HT-USD_Low,HT-USD_Close,HT-USD_Adj_Close,HT-USD_Volume,OKB-USD_Open,OKB-USD_High,OKB-USD_Low,OKB-USD_Close,OKB-USD_Adj_Close,OKB-USD_Volume,KCS-USD_Open,KCS-USD_High,KCS-USD_Low,KCS-USD_Close,KCS-USD_Adj_Close,KCS-USD_Volume,LEO-USD_Open,LEO-USD_High,LEO-USD_Low,LEO-USD_Close,LEO-USD_Adj_Close,LEO-USD_Volume,SQ_High_FEATURE,SQ_Close_FEATURE,SQ_Volume_FEATURE,PYPL_High_FEATURE,PYPL_Close_FEATURE,PYPL_Volume_FEATURE,TSLA_High_FEATURE,TSLA_Close_FEATURE,TSLA_Volume_FEATURE,MSTR_High_FEATURE,MSTR_Close_FEATURE,MSTR_Volume_FEATURE,BK_High_FEATURE,BK_Close_FEATURE,BK_Volume_FEATURE
2019-07-31,1.7290250062942505,1.7296810150146484,1.7199039459228516,1.723201036453247,1.723201036453247,1498995.0,26.96240997314453,27.75824546813965,26.93766975402832,27.64455795288086,27.64455795288086,202950576.0,4.711449146270752,4.783225059509277,4.699819087982178,4.774763107299805,4.774763107299805,57970655.0,2.724721908569336,2.733114004135132,2.6016719341278076,2.6937429904937744,2.6937429904937744,143644842.0,1.5987190008163452,1.7076120376586914,1.5972529649734497,1.6991839408874512,1.6991839408874512,50723170.0,1.3350169658660889,1.3375810384750366,1.3023370504379272,1.3093010187149048,1.3093010187149048,7870567.0,81.94999694824219,80.41000366210938,7406900.0,112.30000305175781,110.4000015258789,10096200.0,16.44533348083496,16.107332229614258,137673000.0,140.72000122070312,136.72999572753906,378000.0,47.36000061035156,46.91999816894531,6635700.0
2019-08-01,1.7238850593566895,1.8050750494003296,1.7070189714431763,1.7696460485458374,1.7696460485458374,1604662.0,27.6221981048584,28.82418441772461,27.5743465423584,28.773273468017578,28.773273468017578,287326494.0,4.77338981628418,4.786441802978516,4.6993842124938965,4.768083095550537,4.768083095550537,51683149.0,2.692656993865967,2.832973003387451,2.6726250648498535,2.7806661128997803,2.7806661128997803,119665108.0,1.6993850469589233,1.7334710359573364,1.6245559453964233,1.6850719451904297,1.6850719451904297,29064567.0,1.3085730075836182,1.314494013786316,1.285789966583252,1.3103450536727905,1.3103450536727905,9301899.0,83.19999694824219,80.9800033569336,16099700.0,112.44999694824219,110.80000305175781,9436100.0,16.30066680908203,15.59000015258789,123892500.0,139.0800018310547,135.47999572753906,126300.0,47.5,45.970001220703125,6863700.0
2019-08-02,1.7717770338058472,1.8157360553741455,1.7677030563354492,1.7891470193862915,1.7891470193862915,1787778.0,28.781208038330078,28.781208038330078,27.817262649536133,28.038482666015625,28.038482666015625,197026849.0,4.767775058746338,4.78532600402832,4.707377910614014,4.721167087554932,4.721167087554932,56474042.0,2.780139923095703,3.143172025680542,2.7596940994262695,2.9439830780029297,2.9439830780029297,136997768.0,1.6827000379562378,1.7235970497131348,1.5948189496994019,1.6831530332565308,1.6831530332565308,38741576.0,1.309944987297058,1.3133939504623413,1.2811130285263062,1.286242961883545,1.286242961883545,6914140.0,70.80999755859375,69.5999984741211,43722000.0,109.6500015258789,107.08999633789062,10466900.0,15.751333236694336,15.62266731262207,92047500.0,137.42999267578125,134.3000030517578,152600.0,46.279998779296875,46.029998779296875,4764700.0
2019-08-05,1.8009910583496094,1.854606032371521,1.750180959701538,1.7631319761276245,1.7631319761276245,2060357.0,27.54244613647461,28.334510803222656,27.495439529418945,28.011878967285156,28.011878967285156,183750146.0,4.642645835876465,4.75616979598999,4.624781131744385,4.718313217163086,4.718313217163086,62189884.0,3.1404149532318115,3.2777130603790283,3.102731943130493,3.193881034851074,3.193881034851074,133044206.0,1.8074580430984497,1.8355849981307983,1.7586419582366943,1.8182259798049927,1.8182259798049927,50560971.0,1.3185629844665527,1.3292429447174072,1.301677942276001,1.3290879726409912,1.3290879726409912,9762237.0,66.5,64.8499984741211,21651500.0,105.38999938964844,103.5999984741211,11745400.0,15.424667358398438,15.221332550048828,105424500.0,134.7899932861328,132.52000427246094,116600.0,45.619998931884766,45.060001373291016,5557800.0
2019-08-06,1.7642240524291992,2.062721014022827,1.747167944908142,1.952623963356018,1.952623963356018,3799671.0,28.04266357421875,28.429189682006836,27.349714279174805,27.63808822631836,27.63808822631836,192614971.0,4.712687015533447,4.966370105743408,4.6768717765808105,4.834440231323242,4.834440231323242,88953661.0,3.191865921020508,3.443140983581543,3.137418031692505,3.3653130531311035,3.3653130531311035,158724136.0,1.8135700225830078,1.8246999979019165,1.719262957572937,1.7611089944839478,1.7611089944839478,29316669.0,1.3314019441604614,1.3439970016479492,1.2444829940795898,1.248576045036316,1.248576045036316,9249956.0,67.4000015258789,64.5999984741211,14970800.0,106.0,105.02999877929688,7740500.0,15.5,15.383333206176758,83463000.0,135.88999938964844,134.10000610351562,130000.0,45.459999084472656,45.45000076293945,5007700.0
2019-08-07,1.9520319700241089,2.361377000808716,1.931535005569458,2.2334160804748535,2.2334160804748535,5298614.0,27.639204025268555,29.6058406829834,27.439504623413086,29.354368209838867,29.354368209838867,314659493.0,4.8342509269714355,4.960102081298828,4.8191351890563965,4.936556816101074,4.936556816101074,81812603.0,3.3639419078826904,3.665386915206909,3.3460640907287598,3.587902069091797,3.587902069091797,169688994.0,1.7623080015182495,1.859753966331482,1.719607949256897,1.8098150491714478,1.8098150491714478,27181049.0,1.2491099834442139,1.2800569534301758,1.2481509447097778,1.2692450284957886,1.2692450284957886,6562868.0,65.26000213623047,65.0,9246500.0,107.16000366210938,106.62999725341797,7622000.0,15.571332931518555,15.561332702636719,71647500.0,139.24000549316406,138.35000610351562,120000.0,45.0,44.72999954223633,6223600.0
2019-08-08,2.2334160804748535,2.7355899810791016,2.160470962524414,2.2489171028137207,2.2489171028137207,6768160.0,29.368263244628906,31.301610946655273,29.034807205200195,30.83284568786621,30.83284568786621,404379079.0,4.936556816101074,5.166018962860107,4.929164886474609,5.080533981323242,5.080533981323242,104112946.0,3.587902069091797,3.897368907928467,3.498378038406372,3.807126998901367,3.807126998901367,240039124.0,1.8098150491714478,1.8334070444107056,1.7679599523544312,1.7992039918899536,1.7992039918899536,21559102.0,1.2692450284957886,1.2700339555740356,1.240110993385315,1.2444900274276733,1.2444900274276733,7889292.0,66.56999969482422,66.2699966430664,9461900.0,108.13999938964844,106.79000091552734,7815000.0,15.986666679382324,15.886667251586914,79114500.0,141.39999389648438,140.27000427246094,126300.0,45.970001220703125,45.56999969482422,5054800.0
2019-08-09,2.2499148845672607,2.2499148845672607,1.8746919631958008,1.8842719793319702,1.8842719793319702,7232198.0,30.867420196533203,31.178043365478516,29.912599563598633,29.96147346496582,29.96147346496582,222912268.0,5.084197044372559,5.245151042938232,5.004357814788818,5.0852460861206055,5.0852460861206055,114516547.0,3.8016419410705566,3.9060781002044678,3.744426965713501,3.8858509063720703,3.8858509063720703,154347257.0,1.7993329763412476,1.8303860425949097,1.7546160221099854,1.7794339656829834,1.7794339656829834,19957957.0,1.2453620433807373,1.250648021697998,1.2210060358047485,1.2225890159606934,1.2225890159606934,6844827.0,66.12000274658203,65.01000213623047,7216900.0,106.5199966430664,104.81999969482422,7777300.0,15.93066692352295,15.667332649230957,58473000.0,143.55999755859375,140.6999969482422,82400.0,46.11000061035156,45.810001373291016,5077300.0
2019-08-12,1.838987946510315,1.9067959785461426,1.7599749565124512,1.9056659936904907,1.9056659936904907,41144878.0,30.08245086669922,30.476917266845703,29.847007751464844,30.166881561279297,30.166881561279297,278357603.0,5.0801849365234375,5.149229049682617,5.061716079711914,5.082855224609375,5.082855224609375,55778250.0,3.2446749210357666,3.264431953430176,3.056082010269165,3.0783309936523438,3.0783309936523438,149915946.0,1.7459520101547241,1.7546449899673462,1.7058730125427246,1.7422009706497192,1.7422009706497192,19017892.0,1.3079489469528198,1.3100639581680298,1.2594300508499146,1.2659180164337158,1.2659180164337158,5173144.0,64.23699951171875,62.29999923706055,8516800.0,104.37999725341797,102.72000122070312,7896800.0,15.718000411987305,15.267333030700684,69958500.0,140.94000244140625,140.74000549316406,142700.0,45.5099983215332,44.380001068115234,4268900.0
2019-08-13,1.9108200073242188,1.9217050075531006,1.7207380533218384,1.7214950323104858,1.7214950323104858,3769508.0,30.16803550720215,30.356313705444336,29.273386001586914,29.466278076171875,29.466278076171875,241841209.0,5.084098815917969,5.089365005493164,4.9788498878479,5.016982078552246,5.016982078552246,52251031.0,3.0818378925323486,3.164597988128662,3.014435052871704,3.1063079833984375,3.1063079833984375,119448265.0,1.7423629760742188,1.7657829523086548,1.6867010593414307,1.7118639945983887,1.7118639945983887,19917997.0,1.2661240100860596,1.2703360319137573,1.2239619493484497,1.228754997253418,1.228754997253418,5559511.0,63.5,63.0,11917600.0,106.69999694824219,106.04000091552734,9788400.0,15.733332633972168,15.666666984558105,72721500.0,142.0,138.72999572753906,144000.0,44.65999984741211,43.66999816894531,6093100.0
